"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"34","175.1585658398642","75.21146413727462","0.48046875","0.35498046875","0.60595703125","1560","0.0005925756101209351","24","0.0005925756101209351","0","0.0005925756101209351","0.0005925756101209351","33:68;35:68","33:0.0021346163124369433;35:0.0021641459532792673","33:0.00394641341309529;35:0.004257880541938097","0.48046875","Yes"
"35","123.78426121927676","39.305930927213076","0.4736328125","0.4453125","0.501953125","1560","0.0002336810018186399","24","0.0002336810018186399","0","0.0002336810018186399","0.0002336810018186399","19:68;34:68","19:0.001971816230666612;34:0.0021641459532792673","19:0.002781983457193715;34:0.004257880541938097","0.4736328125","Yes"
"36","174.5076035182344","148.07212216848126","0.485595703125","0.3232421875","0.64794921875","1560","0.0003433913775560615","24","0.0003433913775560615","0","0.0003433913775560615","0.0003433913775560615","41:68;21:68","41:0.0017683887529998665;21:0.006357733676297661","41:0.003152810698129116;21:0.003261740210268982","0.485595703125","Yes"
"37","157.5146051365775","175.94362326113458","0.00634765625","0.00732421875","0.00537109375","1560","0.00029529015472176635","24","0.00029529015472176635","0","0.00029529015472176635","0.00029529015472176635","45:68;25:68","45:0.0019116831682604585;25:0.007671204555484812","45:0.003257974567055122;25:0.00391134244048541","0.00634765625","Yes"
"38","132.07227542549865","153.50800565357258","0.490478515625","0.43603515625","0.544921875","1560","0.00028549123747352806","24","0.00028549123747352806","0","0.00028549123747352806","0.00028549123747352806","29:68;49:68","29:0.001654168115616722;49:0.016029503118666022","29:0.00475835470308128;49:0.003054696378002819","0.490478515625","Yes"
"39","158.18961394036018","194.52135036584477","0.48876953125","0.44287109375","0.53466796875","1560","0.00042804807603274384","24","0.00042804807603274384","0","0.00042804807603274384","0.00042804807603274384","53:68;33:68","53:0.006726456919100121;33:0.0019116903422986553","53:0.006884684771050642;33:0.0029030189995235545","0.48876953125","Yes"
"40","160.4175309327596","159.84940857607572","0.494140625","0.4541015625","0.5341796875","1560","0.00021097525578631278","24","0.00021097525578631278","0","0.00021097525578631278","0.00021097525578631278","41:68","41:0.0016503016617069322","41:0.001951989428682771","0.494140625","Yes"
"41","247.46941565735804","148.2561169412574","0.50634765625","0.47412109375","0.53857421875","1560","0.00013338689174940385","24","0.00013338689174940385","0","0.00013338689174940385","0.00013338689174940385","40:68;42:68;36:68","40:0.0016503016617069322;42:0.004104314411238069;36:0.0017683887529998665","40:0.001951989428682771;42:0.009129982450389013;36:0.003152810698129116","0.50634765625","Yes"
"42","37.51057668951231","22.65419640241743","0.477294921875","0.30224609375","0.65234375","1560","0.0005887092277492367","24","0.0005887092277492367","0","0.0005887092277492367","0.0005887092277492367","41:68;43:68","41:0.004104314411238069;43:0.007563168274074994","41:0.009129982450389013;43:0.009679243534859161","0.477294921875","Yes"
"43","177.9843586442877","97.09389546925038","0.484130859375","0.36376953125","0.6044921875","1560","0.001067903400849331","24","0.001067903400849331","0","0.001067903400849331","0.001067903400849331","42:68;56:68;44:68","42:0.007563168274074994;56:0.005312040564360215;44:0.02387006311259815","42:0.009679243534859161;56:0.005922216142088266;44:0.04695210418212545","0.484130859375","Yes"
"44","165.44831604735128","163.17748768326223","0.496337890625","0.41552734375","0.5771484375","1560","0.0003504739058750611","24","0.0003504739058750611","0","0.0003504739058750611","0.0003504739058750611","45:68;43:68","45:0.0019177875821732304;43:0.02387006311259815","45:0.0032462226370417735;43:0.04695210418212545","0.496337890625","Yes"
"45","234.41485079646816","200.4082198770231","0.478515625","0.4677734375","0.4892578125","1560","0.00023460219692676235","24","0.00023460219692676235","0","0.00023460219692676235","0.00023460219692676235","44:68;46:68;37:68","44:0.0019177875821732304;46:0.002419279034971772;37:0.0019116831682604585","44:0.0032462226370417735;46:0.003973078845050215;37:0.003257974567055122","0.478515625","Yes"
"46","155.64436069320968","10.976272978299091","0.488525390625","0.29052734375","0.6865234375","1560","0.00041996757294669344","24","0.00041996757294669344","0","0.00041996757294669344","0.00041996757294669344","45:68;47:68","45:0.002419279034971772;47:0.0025738091806825625","45:0.003973078845050215;47:0.0034918694679121898","0.488525390625","Yes"
"47","108.36700611605221","53.35989668818273","0.468505859375","0.41162109375","0.525390625","1560","0.00024379092483643405","24","0.00024379092483643405","0","0.00024379092483643405","0.00024379092483643405","48:68;57:68;46:68","48:0.001770973564760664;57:0.006423496021263658;46:0.0025738091806825625","48:0.005549831729361632;57:0.0022327869721608384;46:0.0034918694679121898","0.468505859375","Yes"
