"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"71","190.2482888577301","133.88068372489718","0.016845703125","0.02294921875","0.0107421875","1560","0.00021200201847512048","24","0.00021200201847512048","0","0.00021200201847512048","0.00021200201847512048","72:68;58:68;70:68","58:0.002039990994315344;70:0.003405017876444233","72:0.18218281994934915;58:0.0015443793359385671;70:0.0024283415973889444","0.016845703125","Yes"
"72","10.459335419923361","99.15649886504495","0.439453125","0.2646484375","0.6142578125","1560","","24","","0","","","73:68;71:68","","73:0.24993588282281007;71:0.18218281994934915","0.439453125","Yes"
"73","219.01064018064793","84.16134925627286","0.0361328125","0.04931640625","0.02294921875","1560","0.00022851636088989458","24","0.00022851636088989458","0","0.00022851636088989458","0.00022851636088989458","72:68;74:68;79:68","74:0.002389320900962416;79:0.0025477093214729407","72:0.24993588282281007;74:0.0019687050661457706;79:0.011870083681875254","0.0361328125","Yes"
"74","136.8479931043979","122.53180954360774","0.010498046875","0.0146484375","0.00634765625","1560","0.000390503646899879","24","0.000390503646899879","0","0.000390503646899879","0.000390503646899879","73:68;75:68","73:0.002389320900962416;75:0.002495316835847","73:0.0019687050661457706;75:0.0020154290677534548","0.010498046875","Yes"
"75","119.50799142253331","92.33550672114637","0.010986328125","0.009765625","0.01220703125","1560","0.0003741537766051762","24","0.0003741537766051762","0","0.0003741537766051762","0.0003741537766051762","59:68;74:68","59:0.0025005563962731125;74:0.002495316835847","59:0.002910658072257266;74:0.0020154290677534548","0.010986328125","Yes"
"76","117.6623845738525","51.1182604315215","0.031982421875","0.0341796875","0.02978515625","1560","0.0002999900728350371","24","0.0002999900728350371","0","0.0002999900728350371","0.0002999900728350371","81:68;61:68","81:0.0014724052115642206;61:0.0026386094206811983","81:0.0016306649841471843;61:0.0024105245798753394","0.031982421875","Yes"
"77","178.6257920181933","47.28734268005621","0.01513671875","0.0166015625","0.013671875","1560","0.00029217214680776445","24","0.00029217214680776445","0","0.00029217214680776445","0.00029217214680776445","85:68;65:68","85:0.0036944640375489723;65:0.004457077491778649","85:0.003581376539711606;65:0.0032547550263496428","0.01513671875","Yes"
"78","75.41388750806692","69.02720488910666","0.02734375","0.029296875","0.025390625","1560","0.0003390615670728821","24","0.0003390615670728821","0","0.0003390615670728821","0.0003390615670728821","69:68;89:68","69:0.001926042061199701;89:0.0032290808954471284","69:0.001548729877695748;89:0.002523599420871714","0.02734375","Yes"
"79","191.91284641850035","86.57884852880927","0.01513671875","0.01708984375","0.01318359375","1560","0.0003173460822466703","24","0.0003173460822466703","0","0.0003173460822466703","0.0003173460822466703","93:68;73:68","93:0.0026104825211998584;73:0.0025477093214729407","93:0.002142564580231876;73:0.011870083681875254","0.01513671875","Yes"
"80","160.77730275453226","106.58710240256646","0.012451171875","0.0146484375","0.01025390625","1560","0.00020189480698764808","24","0.00020189480698764808","0","0.00020189480698764808","0.00020189480698764808","81:68","81:0.0019184823395795025","81:0.0024242909817999148","0.012451171875","Yes"
