"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"58","401.9059877028651","374.02752700655896","0.3203125","0.214599609375","0.426025390625","2400","0.000276844896028679","32","0.000276844896028679","0","0.000276844896028679","0.000276844896028679","48:0.08884490111143857;57:0.0017143255629915866;59:0.0012336184238857517;68:0.027638243567343818","48:248;57:168;59:168;68:248","0.3203125","Yes"
"59","345.4133912548369","343.83396040926556","0.419677734375","0.245361328125","0.593994140625","2400","0.00018781347790251788","32","0.00018781347790251788","0","0.00018781347790251788","0.00018781347790251788","49:0.0016215486312232963;58:0.0012336184238857517;69:0.009702391357093776","49:128;58:168;69:128","0.419677734375","Yes"
"60","267.1104226186448","221.6827994462272","0.3343505859375","0.09619140625","0.572509765625","2400","0.006909328295695405","32","0.006909328295695405","0","0.006909328295695405","0.006909328295695405","61:0.004416104546220767;50:0.02479965162304615;70:0.012897782661987794","61:128;50:68;70:128","0.3343505859375","Yes"
"61","456.1202019107016","266.14543161008703","0.2747802734375","0.1572265625","0.392333984375","2400","0.00014668605149951996","32","0.00014668605149951996","0","0.00014668605149951996","0.00014668605149951996","51:0.0023415049248421693;60:0.004416104546220767;62:0.01742745879567073;71:0.010504727180955353","51:128;60:128;62:288;71:188","0.2747802734375","Yes"
"62","291.2254527303294","75.02797007586585","0.37841796875","0.1337890625","0.623046875","2400","0.0015637486200678087","32","0.0015637486200678087","0","0.0015637486200678087","0.0015637486200678087","72:0.01730745083767435;52:0.014827184229025098;61:0.01742745879567073;63:0.012878433178501403","72:128;52:128;61:288;63:128","0.37841796875","Yes"
"63","189.92080505572298","175.0923138748184","0.3416748046875","0.23828125","0.445068359375","2400","0.00036895197041731406","32","0.00036895197041731406","0","0.00036895197041731406","0.00036895197041731406","53:0.0033273801694402583;62:0.012878433178501403;64:0.0023901182330032245;73:0.0035921217458358135","53:228;62:128;64:188;73:148","0.3416748046875","Yes"
"64","344.2544136799424","226.44560405903331","0.3948974609375","0.087646484375","0.7021484375","2400","0.00013199871713300685","32","0.00013199871713300685","0","0.00013199871713300685","0.00013199871713300685","65:0.0025135753046017506;54:0.003397977291618337;63:0.0023901182330032245;74:0.008375283541633749","65:128;54:208;63:188;74:208","0.3948974609375","Yes"
"65","307.10846557393944","222.73183917496596","0.3619384765625","0.2373046875","0.486572265625","2400","0.000168921811491247","32","0.000168921811491247","0","0.000168921811491247","0.000168921811491247","55:0.0022743685773488342;64:0.0025135753046017506;66:0.004066481394961019;75:0.0027499846440278697","55:148;64:128;66:128;75:208","0.3619384765625","Yes"
"66","439.21959183437514","199.85343409440438","0.472412109375","0.16455078125","0.7802734375","2400","0.00024994412304041037","32","0.00024994412304041037","0","0.00024994412304041037","0.00024994412304041037","56:0.0021641745328374873;65:0.004066481394961019;67:0.006547830121954118;76:0.004432635883923924","56:128;65:128;67:68;76:228","0.472412109375","Yes"
"67","310.0149489131599","233.06676954413874","0.4041748046875","0.32275390625","0.485595703125","2400","0.0001895556714263124","32","0.0001895556714263124","0","0.0001895556714263124","0.0001895556714263124","68:0.013803182156179455;77:0.0019711945537082;57:0.003617684548086031;66:0.006547830121954118","68:188;77:208;57:308;66:68","0.4041748046875","Yes"
"68","517.110692314025","341.3286989604201","0.4708251953125","0.10595703125","0.835693359375","2400","0.0003074100844795352","32","0.0003074100844795352","0","0.0003074100844795352","0.0003074100844795352","67:0.013803182156179455;58:0.027638243567343818;69:0.02505545014083721;78:0.010643979933697617","67:188;58:248;69:168;78:228","0.4708251953125","Yes"
"69","472.9465221914536","387.46744765070986","0.359375","0.205810546875","0.512939453125","2400","0.0028337534017599656","32","0.0028337534017599656","0","0.0028337534017599656","0.0028337534017599656","68:0.02505545014083721;59:0.009702391357093776;79:0.010707297203483124","68:168;59:128;79:188","0.359375","Yes"
"70","351.5387683822478","314.6648947194765","0.249755859375","0.159912109375","0.339599609375","2400","0.0001822334302655847","32","0.0001822334302655847","0","0.0001822334302655847","0.0001822334302655847","60:0.012897782661987794;71:0.002155864151564185;80:0.003217028174424319","60:128;71:68;80:208","0.249755859375","Yes"
"71","393.91620381459774","207.90673219242922","0.3953857421875","0.01513671875","0.727783203125","2400","0.0002327506106567853","32","0.0002327506106567853","0","0.0002327506106567853","0.0002327506106567853","72:0.0021569517391345217;81:0.002711334165484691;61:0.010504727180955353;70:0.002155864151564185","72:128;81:208;61:188;70:68","0.3953857421875","Yes"
